Catchment,perf.stat,GSFB,IHACRES,LASCAM,calib.period,sim.period
Salmon,A,0.256,0.171,0.08,First 5Y,Second 5Y
Salmon,B,-0.037,-0.024,0.023,First 5Y,Second 5Y
Salmon,E,NA,0.774,0.905,First 5Y,Second 5Y
Stones,A,0.184,0.124,0.096,First 5Y,Second 5Y
Stones,B,0.107,0.025,0.038,First 5Y,Second 5Y
Stones,E,0.497,0.827,0.869,First 5Y,Second 5Y
Canning,A,0.085,0.022,0.022,First 5Y,Second 5Y
Canning,B,-0.03,0.002,0.013,First 5Y,Second 5Y
Canning,E,NA,0.82,0.824,First 5Y,Second 5Y
Salmon,A,0.276,0.146,0.123,Second 5Y,First 5Y
Salmon,B,0.019,0.01,0.043,Second 5Y,First 5Y
Salmon,E,NA,-0.847,0.795,Second 5Y,First 5Y
Stones,A,0.226,0.142,0.133,Second 5Y,First 5Y
Stones,B,-0.025,-0.008,-0.011,Second 5Y,First 5Y
Stones,E,0.302,0.828,0.824,Second 5Y,First 5Y
Canning,A,0.083,0.018,0.015,Second 5Y,First 5Y
Canning,B,-0.061,-0.01,-0.001,Second 5Y,First 5Y
Canning,E,NA,0.868,0.746,Second 5Y,First 5Y
Salmon,A,0.255,0.151,0.095,First 5Y,First 5Y
Salmon,B,0.016,0.004,0.007,First 5Y,First 5Y
Salmon,E,NA,0.865,0.892,First 5Y,First 5Y
Stones,A,0.22,0.141,0.107,First 5Y,First 5Y
Stones,B,0.017,-0.02,-0.008,First 5Y,First 5Y
Stones,E,NA,0.842,0.886,First 5Y,First 5Y
Canning,A,0.037,0.013,0.007,First 5Y,First 5Y
Canning,B,0.002,-0.002,0.001,First 5Y,First 5Y
Canning,E,NA,0.899,0.958,First 5Y,First 5Y
Salmon,A,0.233,0.146,0.076,Second 5Y,Second 5Y
Salmon,B,-0.022,-0.016,0.003,Second 5Y,Second 5Y
Salmon,E,NA,0.819,0.93,Second 5Y,Second 5Y
Stones,A,0.189,0.11,0.092,Second 5Y,Second 5Y
Stones,B,0.024,-0.006,0.014,Second 5Y,Second 5Y
Stones,E,0.522,0.85,0.883,Second 5Y,Second 5Y
Canning,A,0.036,0.019,0.013,Second 5Y,Second 5Y
Canning,B,0.003,-0.002,0,Second 5Y,Second 5Y
Canning,E,NA,0.882,0.945,Second 5Y,Second 5Y
